cell,seed,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
C_preset_shared,5000,0.7591138329508801,28.666666666666668,1.3284132841328413,0.46192616748371595,23.0,136.0,5.0,3.8639325295593627,0.37182762294599103,0.36162361623616235,1.8616191602286805,15.0,23.0,136.0,5.0,1.0,1.0,1.0
C_preset_shared,5001,0.864756521295788,261.0,0.22140221402214022,0.6489216156896959,9.0,95.0,27.0,4.013230517594065,0.4063086115811929,0.955719557195572,1.487575242381328,19.0,9.0,95.0,27.0,1.0,1.0,1.0
C_preset_shared,5002,0.8197853918701202,271.0,0.0,0.6812487230669679,194.0,17.0,19.0,3.7254616058681855,0.3324121988292143,0.996309963099631,2.233642770033977,19.0,194.0,17.0,19.0,1.0,1.0,1.0
C_preset_shared,5003,0.7076365904818442,33.4,1.7712177121771218,0.5086535795761192,55.0,5.0,8.0,3.851936003798243,0.5386521827301353,0.6088560885608856,1.4797598053018162,67.0,55.0,5.0,8.0,1.0,1.0,1.0
C_preset_shared,5004,0.7401410391275748,83.33333333333333,1.1070110701107012,0.5975697482015255,2.0,16.0,21.0,4.019007738825766,0.398830092587921,0.9003690036900369,1.7289835376584328,20.0,2.0,16.0,21.0,1.0,1.0,1.0
C_preset_shared,5005,0.8969391160882237,271.0,0.0,0.7357847298960718,,25.0,43.0,3.9826668833932883,0.3833470500817592,1.0,0.6435846357954427,168.0,30.0,25.0,43.0,0.0,1.0,1.0
C_preset_shared,5006,0.7272257369488152,29.333333333333332,1.3284132841328413,0.43956300313795393,66.0,129.0,17.0,3.9864802056951527,0.40571555744022475,0.34317343173431736,1.7530854782392409,67.0,66.0,129.0,17.0,1.0,1.0,1.0
C_preset_shared,5007,0.6902910539950483,23.666666666666668,1.1070110701107012,0.3687766790564465,7.0,8.0,4.0,4.043839062226018,0.4432801784363651,0.2730627306273063,2.622465485998877,9.0,7.0,8.0,4.0,1.0,1.0,1.0
C_preset_shared,5008,0.7950977108044495,256.0,0.22140221402214022,0.6482976349790147,12.0,4.0,20.0,4.114511038141419,0.5374475357931768,0.9261992619926199,2.0914064666366077,69.0,12.0,4.0,20.0,1.0,1.0,1.0
C_preset_shared,5009,0.8456912654691409,57.333333333333336,1.1070110701107012,0.5647597894104303,70.0,116.0,31.0,4.176194389422199,0.4727956488307416,0.6531365313653137,1.9783855208573633,11.0,70.0,116.0,31.0,1.0,1.0,1.0
C_preset_shared,5010,0.7558917667236406,81.0,0.8856088560885609,0.6173417475862615,158.0,8.0,29.0,3.944600209729944,0.5501558869847467,0.8966789667896679,1.8673390204515727,93.0,158.0,8.0,29.0,1.0,1.0,1.0
C_preset_shared,5011,0.6961809643878041,41.5,0.6642066420664207,0.4464808229280291,5.0,12.0,5.0,3.830315401484863,0.32948521661051117,0.3173431734317343,1.6058244908640478,12.0,5.0,12.0,5.0,1.0,1.0,1.0
C_preset_shared,5012,0.8447135469317952,271.0,0.0,0.7317473020890548,,,41.0,4.235188709938211,0.5180780987326761,1.0,0.4330127018922193,128.0,30.0,30.0,41.0,0.0,0.0,1.0
C_preset_shared,5013,0.8555795027521064,129.0,0.44280442804428044,0.6415140404337194,33.0,134.0,19.0,3.961492200062487,0.46058144622114455,0.915129151291513,1.7266552025343045,78.0,33.0,134.0,19.0,1.0,1.0,1.0
C_preset_shared,5014,0.6955045502269881,24.25,1.7712177121771218,0.4165591498669201,1.0,208.0,6.0,3.788874871223648,0.5794436870482008,0.36900369003690037,1.8920720770296533,60.0,1.0,208.0,6.0,1.0,1.0,1.0
C_preset_shared,5015,0.7565778425096141,29.6,1.992619926199262,0.5074324148204082,49.0,13.0,6.0,3.8819740308337605,0.42146875824659785,0.5571955719557196,1.3217300108594976,15.0,49.0,13.0,6.0,1.0,1.0,1.0
C_preset_shared,5016,0.7806782801511071,118.0,0.44280442804428044,0.6160576238459461,95.0,,15.0,4.065437894783054,0.5338712262343214,0.8191881918819188,1.5741805372845885,109.0,95.0,30.0,15.0,1.0,0.0,1.0
C_preset_shared,5017,0.8357969461246436,271.0,0.0,0.6715588667223542,138.0,,44.0,3.8776891956548334,0.44497509972133376,0.988929889298893,0.3184917966195481,60.0,138.0,30.0,44.0,1.0,0.0,1.0
C_preset_shared,5018,0.8607973106535358,271.0,0.0,0.6592738701794446,231.0,60.0,20.0,4.054219281942401,0.434607347419586,0.9630996309963099,1.7443926036175328,60.0,231.0,60.0,20.0,1.0,1.0,1.0
