noise_ratio,coupling,seed,onset_threshold,n_surrogates,surrogate_method,obs_mean_synchrony,p_mean_synchrony,null_mean_mean_synchrony,null_sd_mean_synchrony,obs_peak_amplitude,p_peak_amplitude,null_mean_peak_amplitude,null_sd_peak_amplitude,obs_dwell_time,p_dwell_time,null_mean_dwell_time,null_sd_dwell_time,obs_switching_rate,p_switching_rate,null_mean_switching_rate,null_sd_switching_rate,obs_bimodality_coefficient,p_bimodality_coefficient,null_mean_bimodality_coefficient,null_sd_bimodality_coefficient,p_onset_defined,p_recovery_defined,obs_onset_defined,obs_recovery_defined
0.05,0.0,1014,0.5,99,prtf,-0.010159111726048704,0.61,0.001981511196501543,0.05933747500928254,0.40605086994689416,0.42,0.3732945834526946,0.10392984286295287,,,,,0.0,1.0,0.0,0.0,0.423063554806851,0.76,0.457897398433976,0.06082578278500613,1.0,1.0,1.0,1.0
0.05,0.0,1015,0.5,99,prtf,-0.03126274253044109,0.75,0.0003798502737958904,0.049010492727849284,0.3674128815173399,0.46,0.3564749778556115,0.08994749361366565,,,,,0.0,1.0,0.0,0.0,0.45118921367588527,0.43,0.44494830503695937,0.06792996400781652,1.0,1.0,1.0,1.0
0.05,0.0,1016,0.5,99,prtf,-0.004934763048016958,0.62,0.011297670756853137,0.053505220675816596,0.3536892544150584,0.61,0.386625478008213,0.10074438595826883,,,,,0.0,1.0,0.0,0.0,0.38080578298943185,0.76,0.43602352254030136,0.07304138662904126,1.0,1.0,1.0,1.0
0.05,0.0,1017,0.5,99,prtf,0.06361783242393933,0.13,0.005263564435076879,0.05463632239262651,0.42169041663025536,0.3,0.3789510942015838,0.07772202304103762,,,,,0.0,1.0,0.0,0.0,0.5084783797779233,0.19,0.44763667645558813,0.07337864772599917,1.0,1.0,1.0,1.0
0.05,0.0,1018,0.5,99,prtf,-0.0795064346194539,0.94,0.001067624879373955,0.05629800178562447,0.30352140996462895,0.74,0.3609558287488605,0.08464437341909584,,,,,0.0,1.0,0.0,0.0,0.4111569632928428,0.68,0.4507548551680938,0.0691732701681799,1.0,1.0,1.0,1.0
0.05,0.0,1019,0.5,99,prtf,-0.0012521176953553834,0.49,0.0033355506858541582,0.05786377223040241,0.5087536005626134,0.09,0.3754972269095498,0.0826584929056684,,,,,0.0,1.0,0.0,0.0,0.47797350632513447,0.43,0.45899087410799805,0.059673282365405644,1.0,1.0,1.0,1.0
0.05,0.0,1020,0.5,99,prtf,-0.02530097903059459,0.66,-0.006213065264685734,0.054113692480478155,0.22841194354772124,0.92,0.359215618931454,0.09463835567632446,,,,,0.0,1.0,0.0,0.0,0.5101582134081482,0.17,0.45907868739965874,0.07133964811584774,1.0,1.0,1.0,1.0
0.05,0.0,1021,0.5,99,prtf,-0.12850298166510354,0.99,0.001675957483405157,0.06195746952141855,0.3211047171269856,0.76,0.38909025299070155,0.09132080701619347,,,,,0.0,1.0,0.0,0.0,0.5241064977781716,0.14,0.4403241050812802,0.06747319052574642,1.0,1.0,1.0,1.0
0.05,0.0,1022,0.5,99,prtf,-0.004300172784708644,0.51,-0.0003118730604884566,0.0499212607333389,0.48008526160827725,0.14,0.37895591472672796,0.09068523960517634,,,,,0.0,1.0,0.0,0.0,0.4833109879293541,0.34,0.450244310565902,0.07182552385327248,1.0,1.0,1.0,1.0
0.05,0.0,1023,0.5,99,prtf,-0.06270006402095071,0.9,0.005778070882037527,0.05871217772832077,0.2364909285349279,0.94,0.38270904800985667,0.09195208393308389,,,,,0.0,1.0,0.0,0.0,0.4951986999681784,0.25,0.44573084059397783,0.07462713154004408,1.0,1.0,1.0,1.0
0.05,0.0,1024,0.5,99,prtf,0.021408203626655242,0.29,-0.006868926977976878,0.052367242556580394,0.27390564367564196,0.84,0.3620589899371246,0.09425313184263841,,,,,0.0,1.0,0.0,0.0,0.565830630687891,0.07,0.4568137484873954,0.06466470179830644,1.0,1.0,1.0,1.0
0.05,0.0,1025,0.5,99,prtf,0.020608525085360697,0.4,0.00443278256837136,0.06524629414902226,0.3141946028147124,0.7,0.377721025081368,0.10488804340617115,,,,,0.0,1.0,0.0,0.0,0.4471577505358764,0.45,0.44662231002828673,0.07035586640368507,1.0,1.0,1.0,1.0
0.05,0.0,1026,0.5,99,prtf,-0.09708202693838117,0.96,0.0013811425052897507,0.05416069369266529,0.21843463144386732,0.94,0.367753779529212,0.09047809355158562,,,,,0.0,1.0,0.0,0.0,0.363932818225173,0.91,0.45643056613309735,0.07460562459650158,1.0,1.0,1.0,1.0
0.05,0.0,1027,0.5,99,prtf,-0.00882519599117282,0.6,-0.0022930510477148754,0.0474121768725717,0.2959442453415595,0.77,0.3717829583619416,0.09004608651581952,,,,,0.0,1.0,0.0,0.0,0.4063923977258835,0.8,0.4576364353848247,0.06651961076166162,1.0,1.0,1.0,1.0
