id,true_shape,shape_above_ratio,shape_n_episodes,shape_n_peaks,shape_peak_asymmetry,shape_wcc_std,shape_wcc_range,shape_frac_negative,shape_autocorr_lag1,mean_synchrony,peak_amplitude,dwell_time,switching_rate,bimodality_coefficient,synchrony_entropy,onset_latency,rise_time,recovery_time
pce16__EDA__rest1,,0.026490066225165563,2.0,1.0,1.1538461538461537,0.25416363729119534,1.204003,0.304635761589404,0.9582873304972975,0.060439794701986745,0.556295,8.0,0.794701986754967,0.4595983298385851,3.7963583897109547,151.0,151.0,1.0
pce16__EDA__trials_concat,,0.38915318744053284,20.0,12.0,0.36363636363636365,0.6158736890697375,1.973663,0.3549000951474786,0.9930842597168635,0.1653958705994291,0.9774346666666666,26.2,1.7126546146527117,0.6209391267009234,4.092811267250628,1051.0,206.0,35.0
pce16__RESP__rest1,,0.0,0.0,0.0,,0.22620573314367245,0.9432560000000001,0.6225165562913907,0.9753957292408779,-0.05905756953642384,0.4198143333333333,,0.0,0.4536378646133687,4.122571453812261,151.0,151.0,151.0
pce16__RESP__trials_concat,,0.05994291151284491,7.0,5.0,5.0,0.30242548645047945,1.617823,0.5061845861084682,0.9867336519091654,0.016019481446241667,0.7661236666666666,14.75,0.39961941008563273,0.34019003687444743,3.893691315948443,1051.0,253.0,1051.0
pce17__ECG__rest1,,0.0,0.0,0.0,,0.1778173798582125,0.7844720000000001,0.7549668874172185,0.957256480659531,-0.09270552980132449,0.35617533333333334,,0.0,0.5634063585049467,3.8055584287480833,151.0,151.0,151.0
pce17__ECG__trials_concat,,0.14843006660323502,14.0,8.0,0.1935483870967742,0.37535057097227303,1.694776,0.5318744053282588,0.968318350000842,0.0019371598477640288,0.8893716666666667,21.0,0.7992388201712655,0.46255238011835437,4.042104846084997,1051.0,4.0,4.0
pce17__EDA__rest1,,0.15894039735099338,3.0,4.0,0.8148148148148148,0.3441635598056643,1.3056480000000001,0.4966887417218543,0.9774977269698909,0.050846178807947,0.5993473333333332,22.0,0.794701986754967,0.5468965057292294,3.9854516973623317,74.0,151.0,6.0
pce17__EDA__trials_concat,,0.4995242626070409,12.0,11.0,6.025,0.5609445767974605,1.919769,0.2987630827783064,0.9905042259886913,0.36430119124643195,0.9981763333333333,53.3,1.141769743101808,0.6460003781175809,3.834007450598676,499.0,2.0,35.0
pce17__RESP__rest1,,0.0,0.0,0.0,,0.1411756798294684,0.7641629999999999,0.3708609271523179,0.9373292101948275,0.02114692715231788,0.299013,,0.0,0.4203834584896086,3.7001530608296775,151.0,151.0,151.0
pce17__RESP__trials_concat,,0.0,0.0,0.0,,0.1444888228923688,0.788232,0.4681255946717412,0.9425945001151261,0.023469213130352044,0.399348,,0.0,0.3715009641642191,3.891786371766139,1051.0,1051.0,1051.0
pce18__ECG__rest1,,0.0,0.0,0.0,,0.2810990341794641,0.9322090000000001,0.36423841059602646,0.9782937353117616,0.03691271523178809,0.442667,,0.0,0.6422035896688569,4.108407615401434,151.0,151.0,151.0
pce18__ECG__trials_concat,,0.27783063748810655,18.0,11.0,0.34210526315789475,0.37200686639475644,1.4965570000000001,0.3168411037107517,0.9427009519259997,0.22061129210275926,0.8852763333333333,18.933333333333334,1.7126546146527117,0.5233931299536791,4.131470210850188,1051.0,240.0,35.0
pce18__EDA__rest1,,0.0,0.0,0.0,,0.2409200776794657,0.9677420000000001,0.271523178807947,0.9706810484961176,0.08234407947019869,0.44531266666666663,,0.0,0.6588240996248612,3.817450785191363,151.0,151.0,151.0
pce18__EDA__trials_concat,,0.15128449096098953,11.0,6.0,0.4666666666666667,0.45779921669292123,1.9257140000000001,0.5575642245480494,0.9886063788549087,-0.04919777450047575,0.951533,17.875,0.8563273073263559,0.4200396080733161,4.150211106006895,1051.0,375.0,13.0
pce18__RESP__rest1,,0.0,0.0,0.0,,0.1193169402148523,0.6189450000000001,0.4105960264900662,0.9139674704838805,0.028244807947019862,0.223438,,0.0,0.3823545640960306,3.8410858008134183,151.0,151.0,151.0
pce18__RESP__trials_concat,,0.0,0.0,0.0,,0.14465186643552372,0.865794,0.49476688867745006,0.9501921787244316,-0.0008852226450999038,0.41957199999999994,,0.0,0.3174673358928636,3.76254843012641,1051.0,1051.0,1051.0
pce19__ECG__rest1,,0.006622516556291391,1.0,1.0,1.375,0.17011880161287568,0.754262,0.271523178807947,0.9585249033568582,0.12350777483443709,0.4804583333333333,,0.0,0.47593896798047797,4.004331311497828,151.0,151.0,151.0
pce19__ECG__trials_concat,,0.1170313986679353,11.0,8.0,4.333333333333333,0.38554787806676577,1.584421,0.49857278782112274,0.9716671413156588,0.009628668886774503,0.8002403333333332,14.875,0.9134157944814463,0.4643091313070826,4.168540837351484,1051.0,229.0,5.0
pce19__EDA__rest1,,0.0,0.0,0.0,,0.22612418609007062,0.732199,0.8609271523178808,0.9859417309161057,-0.2602031920529802,0.05127366666666666,,0.0,0.637609436690371,4.139453120227979,151.0,151.0,151.0
pce19__EDA__trials_concat,,0.26070409134157946,11.0,9.0,1.2571428571428571,0.59512440427554,1.9740280000000001,0.46241674595623217,0.9940087914152337,0.04439685727878212,0.9940783333333333,28.9,1.141769743101808,0.5367836513551242,4.245558916163556,1051.0,64.0,18.0
pce19__RESP__rest1,,0.033112582781456956,2.0,1.0,0.07692307692307693,0.1966570617017895,0.9218120000000001,0.33774834437086093,0.9757018513277435,0.09871135099337748,0.5439883333333333,,0.0,0.39803811052870464,3.927513578152021,151.0,151.0,2.0
pce19__RESP__trials_concat,,0.08277830637488107,8.0,5.0,1.103448275862069,0.38718556415330346,1.6956760000000002,0.5861084681255947,0.9931008737442003,-0.06751029876308276,0.8704426666666666,23.75,0.45670789724072314,0.4181804038881013,4.142794276693709,1051.0,4.0,8.0
pce20__ECG__rest1,,0.0,0.0,0.0,,0.20298698400408943,1.105125,0.5894039735099338,0.9613629645055394,-0.06310458940397352,0.40659833333333334,,0.0,0.3268912217477859,3.695564239362532,151.0,151.0,151.0
pce20__ECG__trials_concat,,0.13415794481446242,11.0,7.0,0.029411764705882353,0.401343817691942,1.694153,0.461465271170314,0.9616529923033089,0.05693568315889629,0.8664949999999999,18.142857142857142,0.7992388201712655,0.4640622011665229,4.10926979810485,1051.0,169.0,3.0
pce20__EDA__rest1,,0.09271523178807947,1.0,1.0,3.5,0.23201169205015956,1.13039,0.5231788079470199,0.9580589378544784,0.03226235761589405,0.695417,11.0,0.3973509933774835,0.5782873410139364,3.4644183979452867,137.0,5.0,151.0
pce20__EDA__trials_concat,,0.4034253092293054,23.0,12.0,0.6237623762376238,0.45491987851186627,1.899524,0.21217887725975262,0.97880803879057,0.3541219933396765,0.9755526666666665,22.0,2.055185537583254,0.48851337964228947,3.9595999344433346,1051.0,21.0,35.0
pce20__RESP__rest1,,0.0,0.0,0.0,,0.10768652661485965,0.490112,0.4503311258278146,0.9007169973714455,0.024444105960264903,0.25476333333333334,,0.0,0.47509806980744296,3.9924415711327317,151.0,151.0,151.0
pce20__RESP__trials_concat,,0.0,0.0,0.0,,0.1286808502557766,0.822154,0.5642245480494766,0.9200492975147203,-0.02022731208372978,0.37002599999999997,,0.0,0.31347180323332513,3.679257161382643,1051.0,1051.0,1051.0
